songname,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,duration_ms
Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,3yMC1KsTwh0ceXdIe4QQAQ,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/tracks/3yMC1KsTwh0ceXdIe4QQAQ,175345
love nwantiti (ah ah ah),CKay,CKay The First,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,145800
Sand In My Boots,Morgan Wallen,Dangerous: The Double Album,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,0uRrG2jRR5tuifsYIJHEao,spotify:track:0uRrG2jRR5tuifsYIJHEao,https://api.spotify.com/v1/tracks/0uRrG2jRR5tuifsYIJHEao,202133
Doin' This,Luke Combs,Doin' This,0.593,0.552,1,-5.838,1,0.028,0.18,1.71e-05,0.11,0.39,115.0,4GyD3o5hWoyCuYpdlzZlRL,spotify:track:4GyD3o5hWoyCuYpdlzZlRL,https://api.spotify.com/v1/tracks/4GyD3o5hWoyCuYpdlzZlRL,254181
Something In The Way,Nirvana,Nevermind (Remastered),0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,1nFtiJxYdhtFfFtfXBv06s,spotify:track:1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/tracks/1nFtiJxYdhtFfFtfXBv06s,232147
Barbarian,Lil Durk,7220,0.645,0.678,8,-8.343,1,0.409,0.0389,0.0,0.11,0.158,98.016,6DPEzXUB3ZVzT2NDh7MkJt,spotify:track:6DPEzXUB3ZVzT2NDh7MkJt,https://api.spotify.com/v1/tracks/6DPEzXUB3ZVzT2NDh7MkJt,149244
Boyfriend,Dove Cameron,Boyfriend,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,153000
To Be Loved By You,Parker McCollum,To Be Loved By You,0.473,0.802,10,-4.497,1,0.037,0.00036,0.0,0.304,0.453,145.983,5Ykc3Wr4L4wef5QDdaaxM7,spotify:track:5Ykc3Wr4L4wef5QDdaaxM7,https://api.spotify.com/v1/tracks/5Ykc3Wr4L4wef5QDdaaxM7,198324
AA,Walker Hayes,AA,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027,77oKig47u34qCCFWKMfu1e,spotify:track:77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/tracks/77oKig47u34qCCFWKMfu1e,189560
Shootout @ My Crib,Lil Durk,7220,0.754,0.553,10,-8.777,0,0.394,0.06,0.0,0.108,0.195,90.6,23PzodQrNGxbywlba84Rva,spotify:track:23PzodQrNGxbywlba84Rva,https://api.spotify.com/v1/tracks/23PzodQrNGxbywlba84Rva,153813
Numb Little Bug,Em Beihold,Numb Little Bug,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,3o9kpgkIcffx0iSwxhuNI2,spotify:track:3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/tracks/3o9kpgkIcffx0iSwxhuNI2,169238
Started From,Lil Durk,7220,0.624,0.561,7,-8.757,1,0.476,0.0895,0.0,0.109,0.357,159.186,03cBu30KbreokkrclGPQf8,spotify:track:03cBu30KbreokkrclGPQf8,https://api.spotify.com/v1/tracks/03cBu30KbreokkrclGPQf8,121060
Headtaps,Lil Durk,7220,0.562,0.609,5,-7.672,1,0.279,0.0461,0.0,0.131,0.38,158.803,3HWQrKGmb05pcNoTIzzBwL,spotify:track:3HWQrKGmb05pcNoTIzzBwL,https://api.spotify.com/v1/tracks/3HWQrKGmb05pcNoTIzzBwL,173880
she's all i wanna be,Tate McRae,she's all i wanna be,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,206772
Smoking & Thinking,Lil Durk,7220,0.842,0.512,11,-8.202,1,0.333,0.0169,0.0,0.202,0.688,162.023,1OybHaoLAhB6biFWfaCVDw,spotify:track:1OybHaoLAhB6biFWfaCVDw,https://api.spotify.com/v1/tracks/1OybHaoLAhB6biFWfaCVDw,147392
